n_sequences,	cluster_id,	query_id,	%_identity,	alignment_length,	mismatches,	gap_opens,	evalue,	bit_score,	subject_titles
#	BLASTN	2.12.0+
#	Query:	consensus_medaka-101-156.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-101-156.fasta	96.685	181	4	2	2.55e-80	300	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
consensus_medaka-104-121.fasta	99.419	172	1	0	3.13e-84	313	AB277823.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	AB277823.1
consensus_medaka-104-121.fasta	99.419	172	1	0	3.13e-84	313	AB277822.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AB277822.1
consensus_medaka-104-121.fasta	98.844	173	2	0	4.05e-83	309	EF180059.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Toxocaridae;	g__Toxocara;	s__cati	EF180059.1
consensus_medaka-104-121.fasta	98.837	172	2	0	1.46e-82	307	HM067977.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Spirocercidae;	g__Streptopharagus;	s__sp.	JSL-2010	HM067977.1
consensus_medaka-104-121.fasta	98.837	172	2	0	1.46e-82	307	GU245692.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Ascarididae;	g__Krefftascaris;	s__sharpiloi	GU245692.1
consensus_medaka-104-121.fasta	98.837	172	2	0	1.46e-82	307	AF115571.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__auctum	AF115571.1
consensus_medaka-104-121.fasta	98.837	172	2	0	1.46e-82	307	AB277826.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__aduncum	AB277826.1
consensus_medaka-104-121.fasta	98.256	172	3	0	6.77e-81	302	GPS_020161272.1	k__Metazoa;	p__Chordata;	c__Actinopteri;	o__Cyprinodontiformes;	f__Fundulidae;	g__Fundulus;	s__heteroclitus	GPS_020161272.1
consensus_medaka-104-121.fasta	98.256	172	3	0	6.77e-81	302	EU740575.1	k__Eukaryota;	p__Eukaryota;	c__Eukaryota;	o__Eukaryota;	f__Eukaryota;	g__uncultured;	s__eukaryote	EU740575.1
#	BLASTN	2.12.0+
#	Query:	consensus_medaka-1052-191.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	22	hits	found
consensus_medaka-1052-191.fasta	98.413	126	2	0	3.88e-57	222	AACB03000031.1	k__Eukaryota;	p__Fornicata;	c__Fornicata;	o__Diplomonadida;	f__Hexamitidae;	g__Giardia;	s__intestinalis	AACB03000031.1
consensus_medaka-1052-191.fasta	98.413	126	2	0	3.88e-57	222	AACB03000031.1	k__Eukaryota;	p__Fornicata;	c__Fornicata;	o__Diplomonadida;	f__Hexamitidae;	g__Giardia;	s__intestinalis	AACB03000031.1
consensus_medaka-1052-191.fasta	98.413	126	2	0	3.88e-57	222	AACB03000009.1	k__Eukaryota;	p__Fornicata;	c__Fornicata;	o__Diplomonadida;	f__Hexamitidae;	g__Giardia;	s__intestinalis	AACB03000009.1
consensus_medaka-1052-191.fasta	98.413	126	2	0	3.88e-57	222	AACB03000009.1	k__Eukaryota;	p__Fornicata;	c__Fornicata;	o__Diplomonadida;	f__Hexamitidae;	g__Giardia;	s__intestinalis	AACB03000009.1
consensus_medaka-1052-191.fasta	95.385	130	6	0	1.09e-52	207	AF473852.1	k__Eukaryota;	p__Fornicata;	c__Fornicata;	o__Diplomonadida;	f__Hexamitidae;	g__Giardia;	s__intestinalis	AF473852.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	JX173878.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliaceae;	g__Dictyostelium;	s__barbibulus	JX173878.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	JF892723.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliaceae;	g__Dictyostelium;	s__sp.	MR-2011k	JF892723.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	JF892719.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliaceae;	g__Dictyostelium;	s__maeandriforme	JF892719.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	JF892718.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Raperosteliaceae;	g__Raperostelium;	s__reciprocatum	JF892718.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141494.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Raperosteliaceae;	g__Hagiwaraea;	s__radiculata	HQ141494.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141493.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Raperosteliaceae;	g__Raperostelium;	s__ohioense	HQ141493.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141492.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliaceae;	g__Dictyostelium;	s__sp.	TH8C	HQ141492.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141491.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliaceae;	g__Dictyostelium;	s__sp.	TH14B	HQ141491.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141490.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliales;	g__Coremiostelium;	s__polycephalum	HQ141490.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141489.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliales;	g__Coremiostelium;	s__polycephalum	HQ141489.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141488.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliales;	g__Coremiostelium;	s__polycephalum	HQ141488.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141487.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliaceae;	g__Polysphondylium;	s__sp.	Tibet	10A	HQ141487.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141486.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliaceae;	g__Polysphondylium;	s__violaceum	HQ141486.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141482.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliaceae;	g__Dictyostelium;	s__mucoroides	HQ141482.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141481.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliaceae;	g__Dictyostelium;	s__purpureum	HQ141481.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	HQ141478.1	k__Eukaryota;	p__Evosea;	c__Eumycetozoa;	o__Dictyosteliales;	f__Dictyosteliaceae;	g__Dictyostelium;	s__ammophilum	HQ141478.1
consensus_medaka-1052-191.fasta	100.000	53	0	0	6.82e-20	99.0	FJ876957.1	k__Eukaryota;	p__Ciliophora;	c__Karyorelictea;	o__Loxodida;	f__Loxodidae;	g__Loxodes;	s__sp.	LWW08031803	FJ876957.1
#	BLASTN	2.12.0+
#	Query:	consensus_medaka-106-6.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	JX237370.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	JX237370.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	HF911524.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__typica	HF911524.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	HE997159.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997159.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	HE997158.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997158.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	GQ472928.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472928.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	GQ472926.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472926.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	GQ472924.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472924.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	AF411202.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AF411202.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	AB908161.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908161.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	AB908160.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908160.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	AB277824.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Pseudoterranova;	s__decipiens	AB277824.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	AB277823.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	AB277823.1
consensus_medaka-106-6.fasta	98.592	142	1	1	2.15e-65	250	AB277822.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AB277822.1
consensus_medaka-106-6.fasta	97.887	142	2	1	1.00e-63	244	HM067977.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Spirocercidae;	g__Streptopharagus;	s__sp.	JSL-2010	HM067977.1
consensus_medaka-106-6.fasta	97.887	142	2	1	1.00e-63	244	GU245692.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Ascarididae;	g__Krefftascaris;	s__sharpiloi	GU245692.1
consensus_medaka-106-6.fasta	97.887	142	2	1	1.00e-63	244	EF180059.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Toxocaridae;	g__Toxocara;	s__cati	EF180059.1
consensus_medaka-106-6.fasta	97.887	142	2	1	1.00e-63	244	AF115571.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__auctum	AF115571.1
consensus_medaka-106-6.fasta	97.887	142	2	1	1.00e-63	244	AB277826.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__aduncum	AB277826.1
consensus_medaka-106-6.fasta	97.183	142	3	1	4.66e-62	239	GPS_020161272.1	k__Metazoa;	p__Chordata;	c__Actinopteri;	o__Cyprinodontiformes;	f__Fundulidae;	g__Fundulus;	s__heteroclitus	GPS_020161272.1
consensus_medaka-106-6.fasta	97.183	142	3	1	4.66e-62	239	EU740575.1	k__Eukaryota;	p__Eukaryota;	c__Eukaryota;	o__Eukaryota;	f__Eukaryota;	g__uncultured;	s__eukaryote	EU740575.1
#	BLASTN	2.12.0+
#	Query:	consensus_medaka-111-16.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-111-16.fasta	99.422	173	1	0	8.99e-85	315	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
consensus_medaka-111-16.fasta	98.844	173	2	0	4.18e-83	309	AB374225.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB374225.1
