n_sequences,	cluster_id,	query_id,	%_identity,	alignment_length,	mismatches,	gap_opens,	evalue,	bit_score,	subject_titles
#	BLASTN	2.9.0+
#	Query:	polished-10-106.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
polished-10-106.fasta	98.901	182	2	0	4.26e-88	326	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-10-13716.fasta	98.726	157	2	0	3.37e-74	279	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
polished-10-13716.fasta	98.039	153	3	0	2.62e-70	267	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
polished-10-13716.fasta	98.592	142	2	0	7.34e-66	252	DQ768163.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	DQ768163.1
polished-10-13716.fasta	91.209	182	16	0	7.34e-66	252	AJ287576.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Trypanorhyncha;	f__Sphyriocephalidae;	g__Sphyriocephalus;	s__sp.	DTJL-2000	AJ287576.1
polished-10-13716.fasta	91.209	182	14	2	3.41e-64	246	EU660530.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660530.1
polished-10-13716.fasta	91.209	182	14	2	3.41e-64	246	EU660529.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660529.1
polished-10-13716.fasta	97.887	142	3	0	3.41e-64	246	DQ768160.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	DQ768160.1
polished-10-13716.fasta	97.887	142	3	0	3.41e-64	246	DQ181945.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__dendriticus	DQ181945.2
polished-10-13716.fasta	97.887	142	3	0	3.41e-64	246	DQ181944.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__ditremum	DQ181944.2
#	BLASTN	2.9.0+
#	Query:	polished-10-14153.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	7	hits	found
polished-10-14153.fasta	86.628	172	15	7	2.70e-45	183	DQ992191.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	EFW13	DQ992191.1
polished-10-14153.fasta	95.238	42	2	0	2.83e-10	67.6	JQ910878.1	k__Fungi;	p__Fungi;	c__Fungi;	o__Fungi;	f__Fungi;	g__uncultured;	s__fungus	JQ910878.1
polished-10-14153.fasta	93.333	45	3	0	2.83e-10	67.6	BMAW01120318.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Nephila;	s__pilipes	BMAW01120318.1
polished-10-14153.fasta	93.333	45	3	0	2.83e-10	67.6	BMAO01037308.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01037308.1
polished-10-14153.fasta	90.196	51	5	0	2.83e-10	67.6	BMAO01036578.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01036578.1
polished-10-14153.fasta	100.000	33	0	0	1.32e-08	62.1	JF699578.1	k__Metazoa;	p__Arthropoda;	c__Malacostraca;	o__Isopoda;	f__Sphaeromatidae;	g__Paracassidinopsis;	s__perlata	JF699578.1
polished-10-14153.fasta	96.875	32	1	0	2.21e-06	54.7	FP178483.1	k__Eukaryota;	p__Haptophyta;	c__Haptophyta;	o__Isochrysidales;	f__Noelaerhabdaceae;	g__Emiliania;	s__huxleyi	FP178483.1
#	BLASTN	2.9.0+
#	Query:	polished-10-15536.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	7	hits	found
polished-10-15536.fasta	86.628	172	15	7	2.72e-45	183	DQ992191.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	EFW13	DQ992191.1
polished-10-15536.fasta	95.349	43	2	0	7.93e-11	69.4	JQ910878.1	k__Fungi;	p__Fungi;	c__Fungi;	o__Fungi;	f__Fungi;	g__uncultured;	s__fungus	JQ910878.1
polished-10-15536.fasta	93.333	45	3	0	2.85e-10	67.6	BMAW01120318.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Nephila;	s__pilipes	BMAW01120318.1
polished-10-15536.fasta	93.333	45	3	0	2.85e-10	67.6	BMAO01037308.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01037308.1
polished-10-15536.fasta	90.196	51	5	0	2.85e-10	67.6	BMAO01036578.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01036578.1
polished-10-15536.fasta	100.000	33	0	0	1.33e-08	62.1	JF699578.1	k__Metazoa;	p__Arthropoda;	c__Malacostraca;	o__Isopoda;	f__Sphaeromatidae;	g__Paracassidinopsis;	s__perlata	JF699578.1
polished-10-15536.fasta	96.875	32	1	0	2.22e-06	54.7	FP178483.1	k__Eukaryota;	p__Haptophyta;	c__Haptophyta;	o__Isochrysidales;	f__Noelaerhabdaceae;	g__Emiliania;	s__huxleyi	FP178483.1
#	BLASTN	2.9.0+
#	Query:	polished-10-16511.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	7	hits	found
polished-10-16511.fasta	86.047	172	16	7	1.26e-43	178	DQ992191.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	EFW13	DQ992191.1
polished-10-16511.fasta	95.349	43	2	0	7.88e-11	69.4	JQ910878.1	k__Fungi;	p__Fungi;	c__Fungi;	o__Fungi;	f__Fungi;	g__uncultured;	s__fungus	JQ910878.1
polished-10-16511.fasta	93.333	45	3	0	2.83e-10	67.6	BMAW01120318.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Nephila;	s__pilipes	BMAW01120318.1
polished-10-16511.fasta	93.333	45	3	0	2.83e-10	67.6	BMAO01037308.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01037308.1
polished-10-16511.fasta	90.196	51	5	0	2.83e-10	67.6	BMAO01036578.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01036578.1
polished-10-16511.fasta	100.000	33	0	0	1.32e-08	62.1	JF699578.1	k__Metazoa;	p__Arthropoda;	c__Malacostraca;	o__Isopoda;	f__Sphaeromatidae;	g__Paracassidinopsis;	s__perlata	JF699578.1
polished-10-16511.fasta	96.875	32	1	0	2.21e-06	54.7	FP178483.1	k__Eukaryota;	p__Haptophyta;	c__Haptophyta;	o__Isochrysidales;	f__Noelaerhabdaceae;	g__Emiliania;	s__huxleyi	FP178483.1
#	BLASTN	2.9.0+
#	Query:	polished-10-17190.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
polished-10-17190.fasta	98.901	182	2	0	4.26e-88	326	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-10-17190.fasta	98.352	182	3	0	1.98e-86	320	AB374225.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB374225.1
polished-10-17190.fasta	98.352	182	3	0	1.98e-86	320	AB302388.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB302388.1
polished-10-17190.fasta	98.352	182	3	0	1.98e-86	320	AB302387.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	AB302387.1
polished-10-17190.fasta	98.305	177	3	0	1.19e-83	311	HQ228991.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__sp.	JL-2010	HQ228991.1
polished-10-17190.fasta	99.415	171	1	0	1.19e-83	311	AB353272.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diplogonoporus;	s__grandis	AB353272.1
polished-10-17190.fasta	97.740	177	4	0	5.55e-82	305	DQ925312.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Ligula;	s__colymbi	DQ925312.1
polished-10-17190.fasta	97.740	177	4	0	5.55e-82	305	DQ925309.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ925309.1
polished-10-17190.fasta	97.740	177	4	0	5.55e-82	305	DQ925308.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Digramma;	s__interrupta	DQ925308.1
polished-10-17190.fasta	96.610	177	6	0	1.20e-78	294	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
polished-10-17190.fasta	98.758	161	2	0	2.01e-76	287	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
polished-10-17190.fasta	99.363	157	1	0	7.24e-76	285	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
polished-10-17190.fasta	98.693	153	2	0	5.63e-72	272	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
polished-10-17190.fasta	99.296	142	1	0	1.58e-67	257	DQ768163.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	DQ768163.1
polished-10-17190.fasta	91.758	182	15	0	1.58e-67	257	AJ287576.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Trypanorhyncha;	f__Sphyriocephalidae;	g__Sphyriocephalus;	s__sp.	DTJL-2000	AJ287576.1
polished-10-17190.fasta	91.758	182	13	2	7.34e-66	252	EU660530.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660530.1
polished-10-17190.fasta	91.758	182	13	2	7.34e-66	252	EU660529.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660529.1
polished-10-17190.fasta	98.592	142	2	0	7.34e-66	252	DQ768160.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	DQ768160.1
polished-10-17190.fasta	98.592	142	2	0	7.34e-66	252	DQ181945.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__dendriticus	DQ181945.2
polished-10-17190.fasta	98.592	142	2	0	7.34e-66	252	DQ181944.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__ditremum	DQ181944.2
#	BLASTN	2.9.0+
#	Query:	polished-10-17495.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
polished-10-17495.fasta	98.901	182	2	0	4.26e-88	326	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
